player,team,credits
Vezenkov Sasha,OLY,17.3
James Mike,ASM,14.6
Bryant Elijah,HTA,14.1
Francisco Sylvain,ZAL,14.1
Milutinov Nikola,OLY,13.8
Montero Jean,VAL,13.6
Wright Moses,ZAL,12.8
Oturu Dan,HTA,12.8
Campazzo Facundo,RMB,12.7
Baldwin IV Wade,FNB,12.3
Nunn Kendrick,PAO,12.3
Tavares Walter,RMB,12.1
Hayes-Davis Nigel,PAO,11.2
Lyles Trey,RMB,10.9
Hernangomez Juancho,PAO,10.3
Jones Tyrique,OLY,10.3
Taylor Kameron,VAL,10.2
Hezonja Mario,RMB,10.2
Diallo Alpha,ASM,10.1
Dorsey Tyler,OLY,10.1
Osman Cedi,PAO,10.1
Horton Tucker Talen,FNB,10.0
Lessort Mathias,PAO,9.9
De Colo Nando,FNB,9.7
Okobo Elie,ASM,9.7
Jones Chris,HTA,9.6
Hall Donta,OLY,9.5
Sloukas Kostas,PAO,9.4
Micic Vasilije,HTA,9.4
Tubelis Azuolas,ZAL,9.3
Mirotic Nikola,ASM,9.2
Theis Daniel,ASM,8.9
Evans Keenan,OLY,8.8
Reuvers Nathan,VAL,8.6
Blossomgame Jaron,ASM,8.5
Maledon Theo,RMB,8.5
Williams-Goss Nigel,ZAL,8.4
Strazel Matthew,ASM,8.2
Badio Brancou,VAL,8.0
Blakeney Antonio,HTA,8.0
Melli Nicolo,FNB,7.9
Biberovic Tarik,FNB,7.6
Shorts TJ,PAO,7.6
Deck Gabriel,RMB,7.5
Caboclo Bruno,HTA,7.4
Fournier Evan,OLY,7.4
Thompson Darius,VAL,7.3
Pradilla Jaime,VAL,7.2
Okeke Chuma,RMB,7.1
Motley Johnathan,HTA,7.0
Colson Bonzie,FNB,6.9
Walkup Thomas,OLY,6.8
Joseph Cory,OLY,6.8
Grant Jerian,PAO,6.7
Edwards Kessler,HTA,6.6
Peters Alec,OLY,6.6
Ward Tyson,OLY,6.3
Yurtseven Omer,PAO,6.3
Key Braxton,VAL,6.3
Costello Matthew,VAL,6.1
Faried Kenneth,PAO,6.1
Malcolm Collin,HTA,6.1
Sako Neal,VAL,6.0
Hayes Kevarrius,ASM,5.9
Silva Chris,FNB,5.8
Hall Devon,FNB,5.8
Wilbekin Scottie,FNB,5.7
Butkevicius Arnas,ZAL,5.6
Fall Moustapha,OLY,5.6
Lo Maodo,ZAL,5.5
Moore Omari,VAL,5.5
Garuba Usman,RMB,5.4
Sleva Dustin,ZAL,5.4
Ulanovas Edgaras,ZAL,5.3
Boston Jr Brandon,FNB,5.3
Morris Monte,OLY,5.3
Feliz Andres,RMB,5.2
Jantunen Mikael,FNB,5.1
Randolph Levi,HTA,4.9
Rogkavopoulos Nikolaos,PAO,4.8
De Larrea Sergio,VAL,4.7
Tarpey Terry,ASM,4.5
Mckissic Shaquielle,OLY,4.4
Len Alex,RMB,4.3
Nedovic Nemanja,ASM,4.3
Birutis Laurynas,ZAL,4.2
Birch Khem,FNB,4.1
Ennis Tyler,HTA,4.1
Madar Yam,HTA,4.1
Odiase Tai,HTA,4.1
Papanikolaou Kostas,OLY,4.1
Abalde Alberto,RMB,4.0
Almansa Izan,RMB,4.0
Antetokounmpo Kostas,OLY,4.0
Bacot Jr Armando,FNB,4.0
Timor Bar,HTA,4.0
Toliopoulos Vassilis,PAO,4.0
Bango Jilson,FNB,4.0
Begarin Juhann,ASM,4.0
Birsen Metecan,FNB,4.0
Bitim Onuralp,FNB,4.0
Wainright Ish,HTA,4.0
Blayzer Oz,HTA,4.0
Brazdeikis Ignas,ZAL,4.0
Zagars Arturs,FNB,4.0
Ziv Iftach,HTA,4.0
Rubstavicius Mantas,ZAL,4.0
Iroegbu Ike,VAL,4.0
Nogues Isaac,VAL,4.0
Grinvalds Gunars,RMB,4.0
Mikalauskas Kajus,ZAL,4.0
Eksioglu Mert,FNB,4.0
Daubaris Dominykas,ZAL,4.0
Giedraitis Dovydas,ZAL,4.0
Ginat Tomer,HTA,4.0
Grigonis Marius,PAO,4.0
Happ Ethan,VAL,4.0
Kalaitzakis Panagiotis,PAO,4.0
Kouzeloglou Ioannis,PAO,4.0
Kramer David,RMB,4.0
Larentzakis Giannoulis,OLY,4.0
Llull Sergio,RMB,4.0
Lopez-Arostegui Xabi,VAL,4.0
Mahmutoglu Melih,FNB,4.0
Mestoglu Yigit Hamza,FNB,4.0
Michineau David,ASM,4.0
Mitoglou Konstantinos,PAO,4.0
Netzipoglou Omiros,OLY,4.0
Ntilikina Frank,OLY,4.0
Palatin Guy,HTA,4.0
Procida Gabriele,RMB,4.0
Puerto Josep,VAL,4.0
Samodurov Alexandros,PAO,4.0
Segev Itay,HTA,4.0
Sima Yankuba,VAL,4.0
Sirvydis Deividas,ZAL,4.0
