player,player_id,team_code,status,impact,note,updated,role,source,source_url,collected_at
Pajola Alessandro,P006739,VIR,out,0.0,,05/02,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Watson Glynn,P014013,ASV,out,0.0,,16/04,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Vildoza Luca,P007947,VIR,out,0.0,,16/04,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Morgan Matthew,P012585,VIR,out,0.0,,16/04,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Guduric Marko,P004004,MIL,out,0.0,,16/04,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Bacon Dwayne,P011286,DUB,out,0.0,,16/04,Forward,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Leday Zach,P008987,MIL,out,0.0,,16/04,Forward,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Jones Tyrique,P011981,OLY,out,0.0,,16/04,Center,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Washington Duane,P013370,PRS,out,0.0,,19/03,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Papagiannis Georgios,,IST,out,0.0,,22/10,Center,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Lundberg Iffe,,TEL,out,0.0,,25/02,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Leaf TJ,P014012,TEL,out,0.0,,25/02,Forward,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
Canaan Isaiah,,RED,out,0.0,,30/09,Guard,BasketStories,https://www.basketstories.net/datacenter/injuries.php,2026-05-06T09:59:35+00:00
"CLYBURN, WILL",P004888,BAR,available,1.0,Will Clyburn reassures fans after report about heart issues,"Mon, 04 May 2026 11:25:05 +0000",Forward,Eurohoops,https://www.eurohoops.net/en/euroleague/1963968/will-clyburn-updates-status-barcelona-acb-euroleague/,2026-05-06T09:59:35+00:00
"WARD, TYSON",P012610,OLY,out,0.0,Olympiacos faces Monaco playoff test without defensive anchor Tyson Ward,"Mon, 04 May 2026 11:48:04 +0000",Forward,Eurohoops,https://www.eurohoops.net/en/euroleague/1963982/tyson-ward-out-olympiacos-at-monaco-euroleague-playoffs/,2026-05-06T09:59:35+00:00
"THEIS, DANIEL",P004132,MCO,out,0.0,"Monaco loses Diallo, Theis ahead of must-win Game 3 vs Olympiacos","Mon, 04 May 2026 13:29:29 +0000",Center,TalkBasket,https://www.talkbasket.net/217630-monaco-loses-diallo-theis-ahead-of-must-win-game-3-vs-olympiacos,2026-05-06T09:59:35+00:00
"DIALLO, ALPHA",P011226,MCO,out,0.0,"Monaco loses Diallo, Theis ahead of must-win Game 3 vs Olympiacos","Mon, 04 May 2026 13:29:29 +0000",Forward,TalkBasket,https://www.talkbasket.net/217630-monaco-loses-diallo-theis-ahead-of-must-win-game-3-vs-olympiacos,2026-05-06T09:59:35+00:00
"TAVARES, WALTER",P005791,MAD,out,0.0,Real Madrid dominates Hapoel in Game 2 blowout despite Walter Tavares absence,"Sat, 02 May 2026 04:18:08 +0000",Center,TalkBasket,https://www.talkbasket.net/217520-real-madrid-dominates-hapoel-in-game-2-blowout-despite-walter-tavares-absence,2026-05-06T09:59:35+00:00
